CoM_x_control,new_EP_lx,new_EP_rx
-0.005274,0.000000,0.000000
-0.003805,0.000000,0.000000
-0.002140,0.000000,0.000000
-0.001817,0.000000,0.000000
-0.001853,0.000000,0.000000
-0.002192,0.000000,0.000000
-0.003372,0.000000,0.000000
-0.005061,0.000000,0.000000
-0.006478,0.000000,0.000000
-0.007502,0.000000,0.000000
-0.008249,0.000000,0.000000
-0.008769,0.000000,0.000000
-0.008811,0.000000,0.000000
-0.008472,0.000000,0.000000
-0.008166,0.000000,0.000000
-0.007938,0.000000,0.000000
-0.007647,0.000000,0.000000
-0.007285,0.000000,0.000000
-0.006950,0.000000,0.000000
-0.006654,0.000000,0.000000
-0.006595,0.000000,0.000000
-0.006799,0.000000,0.000000
-0.007059,0.000000,0.000000
-0.007221,0.000000,0.000000
-0.007170,0.000000,0.000000
-0.007178,0.000000,0.000000
-0.007093,0.000000,0.000000
-0.006720,0.000000,0.000000
-0.005967,0.000000,0.000000
-0.004875,0.000000,0.000000
-0.003613,0.000000,0.000000
-0.002324,0.000000,0.000000
-0.001237,0.000000,0.000000
-0.000230,0.000000,0.000000
0.000933,0.000000,0.000000
0.002138,0.000000,0.000000
0.002905,0.000000,0.000000
0.003248,0.000000,0.000000
0.003291,0.000000,0.000000
0.003109,0.000000,0.000000
0.002796,0.000000,0.000000
0.002416,0.000000,0.000000
0.002086,0.000000,0.000000
0.001775,-0.025074,-0.025074
0.000827,-0.038043,-0.038749
-0.001241,-0.035125,-0.053834
-0.004617,0.012742,-0.070878
-0.008758,0.127142,-0.090503
-0.012468,0.317617,-0.113424
-0.015331,0.579862,-0.140473
-0.017274,0.896301,-0.172636
-0.018547,1.238915,-0.211085
-0.019182,1.573844,-0.257218
-0.019537,1.866949,-0.312716
-0.019619,2.089361,-0.379598
-0.018583,2.222054,-0.460301
-0.016822,2.258620,-0.557761
-0.015184,2.205765,-0.675527
-0.013923,2.081409,-0.817886
-0.012979,1.909979,-0.990021
-0.012293,1.701800,-1.198200
-0.011849,1.450000,-1.450000
-0.011213,1.185887,-1.714113
-0.010526,0.964947,-1.935053
-0.011114,0.779137,-2.119452
-0.013526,0.621693,-2.240891
-0.016060,0.486882,-2.245878
-0.017837,0.369797,-2.094911
-0.018120,0.266175,-1.771744
-0.016377,0.172243,-1.287086
-0.012578,0.084582,-0.677543
-0.007534,0.000000,0.000000
-0.002701,-0.084582,0.677543
0.001328,-0.172243,1.287086
0.003804,-0.266175,1.771744
0.005433,-0.369797,2.094911
