ideal_roll_vel,init_roll_pos,left_control_once_roll,left_control_total_roll,passfilter_pres_roll_pos,passfilter_pres_roll_vel,pres_roll_pos,pres_roll_vel,right_control_once_roll,right_control_total_roll,smaple_times_count
0.000000,none,-0.037707,-0.569015,3.525285,7.433813,4.200079,13.849115,0.000000,0.000000,30.000000
0.000000,none,-0.037707,-0.569015,2.905403,-20.662701,-0.985624,-172.856781,0.000000,0.000000,30.000000
0.000000,none,-0.037707,-0.569015,1.813399,-36.400162,0.038574,34.139938,0.000000,0.000000,30.000000
0.000000,none,-0.037707,-0.569015,1.341812,-15.719550,0.669820,21.041521,0.000000,0.000000,30.000000
0.000000,none,-0.037707,-0.569015,1.183236,-5.285871,1.032464,12.088128,0.000000,0.000000,30.000000
0.000000,none,-0.037707,-0.569015,1.144241,-1.299829,1.092695,2.007727,0.000000,0.000000,30.000000
0.000000,none,-0.037707,-0.569015,1.017409,-4.227718,0.410896,-22.726643,0.000000,0.000000,30.000000
0.000000,none,-0.037707,-0.569015,0.749139,-8.942329,-0.036260,-14.905205,0.000000,0.000000,30.000000
0.000000,none,-0.037707,-0.569015,0.297829,-15.043689,-1.258393,-40.737782,0.000000,0.000000,30.000000
0.000000,none,-0.037707,-0.569015,-0.277380,-19.173626,-1.705627,-14.907801,0.000000,0.000000,30.000000
0.000000,none,-0.037707,-0.569015,-0.863710,-19.544336,-2.477639,-25.733709,0.000000,0.000000,30.000000
0.000000,none,-0.037707,-0.569015,-1.422762,-18.635073,-2.709482,-7.728100,0.000000,0.000000,30.000000
0.000000,none,-0.037707,-0.569015,-1.877649,-15.162895,-2.951119,-8.054583,0.000000,0.000000,30.000000
0.000000,none,-0.037707,-0.569015,-2.223239,-11.519683,-2.942877,0.274730,0.000000,0.000000,30.000000
0.000000,none,-0.037707,-0.569015,-2.425099,-6.728652,-2.752823,6.335139,0.000000,0.000000,30.000000
0.000000,none,-0.037707,-0.569015,-2.515230,-3.004356,-2.655163,3.255327,0.000000,0.000000,30.000000
0.000000,none,-0.037707,-0.569015,-2.524989,-0.325303,-2.435705,7.315270,0.000000,0.000000,30.000000
0.000000,none,-0.037707,-0.569015,-2.543509,-0.617330,-2.728898,-9.773088,0.000000,0.000000,30.000000
0.000000,none,-0.037707,-0.569015,-2.623483,-2.665803,-2.853055,-4.138557,0.000000,0.000000,30.000000
0.000000,none,-0.037707,-0.569015,-2.743507,-4.000828,-3.136701,-9.454870,0.000000,0.000000,30.000000
0.000000,none,-0.037707,-0.569015,-2.894087,-5.019313,-3.282192,-4.849704,0.000000,0.000000,30.000000
0.000000,none,-0.037707,-0.569015,-3.056290,-5.406757,-3.509791,-7.586654,0.000000,0.000000,30.000000
0.000000,none,-0.037707,-0.569015,-3.173848,-3.918622,-3.330318,5.982431,0.000000,0.000000,30.000000
0.000000,none,-0.037707,-0.569015,-3.161602,0.408200,-2.941613,12.956850,0.000000,0.000000,30.000000
0.000000,none,-0.019570,-0.588585,-2.840639,10.698768,-1.395331,51.542747,0.000000,0.000000,30.000000
0.000000,none,-0.058140,-0.646725,-2.265224,19.180521,-0.725004,22.344202,0.000000,0.000000,30.000000
0.000000,none,-0.075315,-0.722041,-1.578878,22.878185,0.441994,38.899948,0.000000,0.000000,30.000000
0.000000,none,-0.076069,-0.798110,-0.891089,22.926308,0.656625,7.154364,0.000000,0.000000,30.000000
0.000000,none,-0.054338,-0.852448,-0.350577,18.017071,0.906152,8.317566,0.000000,0.000000,30.000000
