motor_11,motor_12,motor_13,motor_14,motor_15,motor_17,motor_18,motor_19,motor_20,motor_21
2252.000000,1709.000000,1701.000000,2385.000000,1842.000000,2252.000000,2385.000000,2393.000000,1709.000000,1842.000000
2022.000000,1753.000000,2636.000000,2343.000000,2021.000000,2022.000000,2343.000000,1461.000000,1753.000000,2021.000000
2000.000000,1755.000000,2633.000000,2341.000000,1999.000000,2000.000000,2341.000000,1464.000000,1755.000000,1999.000000
1983.000000,1757.000000,2629.000000,2339.000000,1982.000000,1983.000000,2339.000000,1468.000000,1757.000000,1982.000000
1969.000000,1759.000000,2625.000000,2337.000000,1968.000000,1969.000000,2337.000000,1472.000000,1759.000000,1968.000000
1958.000000,1760.000000,2622.000000,2336.000000,1957.000000,1958.000000,2336.000000,1475.000000,1760.000000,1957.000000
1949.000000,1762.000000,2619.000000,2334.000000,1948.000000,1949.000000,2334.000000,1478.000000,1762.000000,1948.000000
1943.000000,1763.000000,2616.000000,2333.000000,1942.000000,1943.000000,2333.000000,1481.000000,1763.000000,1942.000000
1938.000000,1764.000000,2614.000000,2332.000000,1938.000000,1938.000000,2332.000000,1483.000000,1764.000000,1938.000000
1936.000000,1765.000000,2613.000000,2331.000000,1935.000000,1936.000000,2331.000000,1484.000000,1765.000000,1935.000000
1935.000000,1765.000000,2613.000000,2331.000000,1934.000000,1935.000000,2331.000000,1484.000000,1765.000000,1934.000000
1936.000000,1765.000000,2613.000000,2331.000000,1935.000000,1936.000000,2331.000000,1484.000000,1765.000000,1935.000000
1938.000000,1764.000000,2614.000000,2332.000000,1938.000000,1938.000000,2332.000000,1483.000000,1764.000000,1938.000000
1943.000000,1763.000000,2616.000000,2333.000000,1942.000000,1943.000000,2333.000000,1481.000000,1763.000000,1942.000000
1949.000000,1762.000000,2619.000000,2334.000000,1948.000000,1949.000000,2334.000000,1478.000000,1762.000000,1948.000000
1958.000000,1760.000000,2622.000000,2336.000000,1957.000000,1958.000000,2336.000000,1475.000000,1760.000000,1957.000000
1969.000000,1759.000000,2625.000000,2337.000000,1968.000000,1969.000000,2337.000000,1472.000000,1759.000000,1968.000000
1983.000000,1757.000000,2629.000000,2339.000000,1982.000000,1983.000000,2339.000000,1468.000000,1757.000000,1982.000000
2000.000000,1755.000000,2633.000000,2341.000000,1999.000000,2000.000000,2341.000000,1464.000000,1755.000000,1999.000000
2022.000000,1753.000000,2636.000000,2343.000000,2021.000000,2022.000000,2343.000000,1461.000000,1753.000000,2021.000000
2048.000000,1753.000000,2637.000000,2343.000000,2048.000000,2048.000000,2343.000000,1460.000000,1753.000000,2048.000000
2075.000000,1753.000000,2636.000000,2343.000000,2074.000000,2075.000000,2343.000000,1461.000000,1753.000000,2074.000000
2097.000000,1755.000000,2633.000000,2341.000000,2096.000000,2097.000000,2341.000000,1464.000000,1755.000000,2096.000000
2114.000000,1757.000000,2629.000000,2339.000000,2113.000000,2114.000000,2343.000000,1461.000000,1753.000000,2114.000000
2128.000000,1758.000000,2625.000000,2337.000000,2127.000000,2129.000000,2351.000000,1444.000000,1745.000000,2128.000000
2139.000000,1760.000000,2622.000000,2336.000000,2138.000000,2141.000000,2364.000000,1419.000000,1732.000000,2141.000000
2147.000000,1762.000000,2619.000000,2334.000000,2147.000000,2152.000000,2379.000000,1389.000000,1717.000000,2151.000000
2153.000000,1763.000000,2616.000000,2333.000000,2153.000000,2160.000000,2394.000000,1359.000000,1702.000000,2160.000000
2157.000000,1764.000000,2614.000000,2332.000000,2158.000000,2166.000000,2406.000000,1334.000000,1690.000000,2166.000000
2160.000000,1765.000000,2613.000000,2331.000000,2160.000000,2170.000000,2414.000000,1318.000000,1682.000000,2170.000000
2161.000000,1765.000000,2613.000000,2331.000000,2161.000000,2172.000000,2417.000000,1313.000000,1679.000000,2171.000000
2160.000000,1765.000000,2613.000000,2331.000000,2160.000000,2170.000000,2414.000000,1318.000000,1682.000000,2170.000000
2158.000000,1764.000000,2614.000000,2332.000000,2158.000000,2166.000000,2406.000000,1334.000000,1690.000000,2166.000000
2154.000000,1764.000000,2616.000000,2333.000000,2153.000000,2160.000000,2394.000000,1359.000000,1702.000000,2160.000000
2148.000000,1762.000000,2619.000000,2334.000000,2147.000000,2152.000000,2379.000000,1389.000000,1717.000000,2151.000000
2140.000000,1761.000000,2622.000000,2336.000000,2138.000000,2141.000000,2364.000000,1419.000000,1732.000000,2141.000000
2130.000000,1759.000000,2625.000000,2337.000000,2127.000000,2129.000000,2351.000000,1444.000000,1745.000000,2128.000000
2116.000000,1757.000000,2629.000000,2339.000000,2113.000000,2114.000000,2343.000000,1461.000000,1753.000000,2114.000000
2099.000000,1755.000000,2633.000000,2341.000000,2096.000000,2097.000000,2341.000000,1464.000000,1755.000000,2096.000000
2075.000000,1753.000000,2636.000000,2343.000000,2074.000000,2075.000000,2343.000000,1461.000000,1753.000000,2074.000000
2048.000000,1753.000000,2637.000000,2343.000000,2048.000000,2048.000000,2343.000000,1460.000000,1753.000000,2048.000000
2022.000000,1753.000000,2636.000000,2343.000000,2021.000000,2022.000000,2343.000000,1461.000000,1753.000000,2021.000000
2000.000000,1755.000000,2633.000000,2341.000000,1999.000000,2000.000000,2341.000000,1464.000000,1755.000000,1999.000000
1982.000000,1750.000000,2642.000000,2346.000000,1982.000000,1983.000000,2339.000000,1468.000000,1757.000000,1982.000000
1967.000000,1735.000000,2672.000000,2361.000000,1966.000000,1968.000000,2338.000000,1472.000000,1759.000000,1968.000000
1953.000000,1712.000000,2718.000000,2384.000000,1953.000000,1957.000000,2336.000000,1475.000000,1760.000000,1957.000000
1941.000000,1686.000000,2770.000000,2410.000000,1941.000000,1949.000000,2334.000000,1478.000000,1762.000000,1948.000000
1931.000000,1662.000000,2819.000000,2434.000000,1931.000000,1942.000000,2333.000000,1481.000000,1763.000000,1942.000000
1923.000000,1641.000000,2860.000000,2455.000000,1923.000000,1939.000000,2333.000000,1483.000000,1764.000000,1938.000000
1918.000000,1628.000000,2886.000000,2468.000000,1917.000000,1937.000000,2332.000000,1484.000000,1765.000000,1935.000000
1916.000000,1624.000000,2895.000000,2472.000000,1916.000000,1937.000000,2332.000000,1484.000000,1765.000000,1934.000000
