Accel_ax,Accel_ay,Accel_az
-1.777911,10.163846,10.837813
-2.852212,0.042482,9.346857
-0.239590,3.795736,7.787732
-1.598803,-2.236798,9.365831
-3.607324,1.325914,9.010388
-1.485050,-1.478504,8.039945
-3.908073,2.030897,10.083890
-2.331490,-0.021877,7.541598
-2.704943,1.349133,9.072953
-2.762832,-2.160430,9.131768
-3.242896,0.331180,8.804786
-2.780793,0.491633,8.513329
-2.657778,0.762961,9.814867
-2.500409,-0.254948,8.912554
-3.057547,0.822855,9.547346
-2.723538,-0.209972,8.961368
-2.416133,-0.918614,8.802938
-3.089972,0.627492,10.987054
-1.973484,-3.324996,8.353796
-4.076981,-1.073289,12.039995
-0.698143,-5.638849,6.875260
-2.772968,0.281331,12.115473
-1.401788,-5.629605,5.652328
-2.642735,0.956985,9.237936
-3.245090,-3.144060,10.145855
-2.973510,-0.555648,5.431724
-2.293564,-0.730320,10.680298
-2.742018,-3.968386,11.745676
-2.724629,0.484363,7.630775
-2.075091,-3.768816,11.922975
-3.062160,-0.336282,7.515292
-3.215008,-2.783138,10.428448
-2.941429,-1.894056,8.874806
-1.832390,-2.288545,9.752709
-2.913704,-3.151223,11.714038
-2.737510,0.121127,7.764309
-2.522338,-0.117122,8.617384
-3.101117,0.567057,9.081820
-2.480906,2.244614,6.998142
-3.301828,-0.103098,10.655324
-2.383952,3.040756,7.304539
-2.975691,0.778927,11.860597
-2.045059,4.274506,5.848210
-1.437480,2.100177,7.767072
-4.300384,3.221770,13.431838
-2.866635,1.177863,7.522238
-4.624175,1.796649,8.088031
-1.839235,4.468783,13.540826
-4.518733,-0.363544,4.319360
-1.860937,3.565112,15.037311
-2.268492,0.540341,6.416756
-2.456224,2.861332,12.501594
-2.450810,1.352000,9.694851
-1.994682,2.809452,10.820594
-3.476625,-1.136812,8.231757
-4.382232,-2.004057,6.037292
-1.508547,4.572408,11.305264
-2.944859,-2.257663,6.100276
-1.893490,7.751938,10.619100
-4.091777,-1.554392,10.890491
-1.770157,8.568913,11.897461
-3.367724,-1.979496,9.148212
-0.529744,13.629110,13.880781
-5.504151,-0.969819,10.400098
-2.271673,3.740113,9.546490
-5.708726,-4.662571,10.368625
-2.967567,-0.775817,10.765794
-1.236125,-5.280516,15.173417
-5.124863,-0.796101,6.891233
1.071494,-2.696163,17.607231
-2.709324,-2.424972,8.357718
-1.055987,-2.760434,10.718478
-0.030529,-3.003503,9.747012
-1.237394,-3.492471,12.780877
-1.876752,2.250834,4.601352
-1.506456,0.997325,8.052892
-2.798093,-3.493415,8.193072
-1.597899,1.894962,8.246854
-2.208277,-6.537807,10.190895
-3.566443,1.815379,8.574059
-1.528782,-4.634183,11.892175
-4.992376,5.793900,8.299462
-0.905443,-12.692183,13.079116
-3.560126,0.833932,5.050611
-2.459031,-3.845138,9.735837
-5.012705,4.617373,8.231484
-2.188112,-1.511808,10.512784
-0.891656,4.177352,14.307299
-1.904541,0.022937,11.950868
-0.173602,2.475485,14.972641
-2.109389,0.721287,11.266751
-2.823176,2.243250,10.579967
-0.139013,-0.187004,10.034833
-1.635216,2.994354,10.760941
-2.659657,-1.903886,7.724983
-1.408690,-2.352541,5.930624
-2.747255,0.843397,7.508249
-1.670371,-3.042200,8.687110
-2.081646,7.184166,11.783544
-3.634892,-1.779246,9.543588
-2.683691,7.326555,13.071840
-3.805517,-2.800449,7.242154
-1.464688,10.509567,12.998871
-6.326384,0.052030,9.637867
-2.919200,7.192964,9.082925
-5.648570,-2.599431,8.931864
-3.042784,0.220600,12.633077
-1.654504,-5.379147,13.955800
-2.820717,-1.296935,10.753520
1.110229,-1.981884,13.434135
-8.311595,-3.112288,4.827764
-1.299194,-2.564322,10.647388
-0.969375,-1.831633,11.084705
-1.463010,-3.356645,12.288497
-1.952458,1.531175,5.075626
-0.959899,1.471058,8.018462
-2.797472,-3.001405,6.780480
-1.597686,2.081023,8.056220
-2.270988,-5.833656,8.897773
-3.649505,2.094601,8.377767
-0.650472,-6.783782,12.270342
-3.917822,2.480248,8.155581
-0.180552,-10.948154,9.568602
-3.949727,6.622685,5.985861
-3.568236,-0.019535,6.541596
-5.419352,4.599181,7.670760
-2.277726,1.161457,11.940424
-2.930688,2.522509,12.377326
-0.676191,1.783046,14.042932
-2.636536,1.983620,11.871241
-1.013350,3.095022,15.125801
-3.180767,1.572772,9.703078
-1.870236,-0.006118,8.955867
-2.843442,2.506992,10.573672
-2.351629,-1.869663,4.591654
-1.372789,-1.378876,7.828243
-3.517806,-1.248361,6.468668
-1.607465,-2.449188,8.380505
-3.397282,1.221478,8.009476
-1.495686,-9.511361,6.420096
-2.497836,6.709311,8.870466
